a.	ara
ab.	abitanti
ab./km², ab./kmq	abitanti per chilometro quadrato
abbigl.	abbigliamento
abbrev.	abbreviato, abbreviazione
abl.	ablativo (ling.)
a.C.	avanti Cristo
ac.	acustica
acc.	accusativo (ling.)
accorc.	accorciativo
accr.	accrescitivo
adatt.	adattamento
a.d.r.	a domanda risponde
aeron.	aeronautica
aerodin.	aerodinamica
affl.	affluente
agg.	aggettivo, aggettivale, aggettivato
agr.	agraria, agronomia
agric.	agricoltura
alch.	alchimia
alg.	algebra
alim.	industrie alimentari
allev.	allevamenti
allus.	allusione
alt.	altezza, altitudine
anat.	anatomia
anat. comp.	anatoia comparata
ant.	antico, antichità
antifr.	antifrasi, antifrastico
anton.	antonomasia
antrop.	antropologia, anatropologico
ar.	arabo
arald.	araldica
arc.	arcaico
arch.	architettura, architetto
archeol.	archeologia
aritm.	aritmetica
arred.	arredamento
art.	articolo, articolato
arti min.	arti minori
artig.	artigianato
artigl.	artiglieria
artt.	articoli
assic.	assicurazioni
assol.	assoluto, assolutamente
astr.	astronautica
astrol.	astrologia
astron.	astronomia
att.	attivo
attrav.	attraverso
aus.	ausiliare
autom.	automobilismo
avv.	avverbio, avverbiale, avverbialmente
avvers.	avversativo
B
b.	beato
bal.	balistica
ball.	balletto, coreografia
batt.	batteorologia
bibl.	biblioteca, bibliologia
bioch.	biochimica
biol.	biologia
bot.	botanica
bur.	burocratico, burocraticamente
C
ca.	circa
cal.	caloria
cap.	capitolo, capitale
capol.	capoluogo
card.	cardinale
caus.	causale
c.a.	corrente anno
c.m.	corrente mese
c.d.	cosiddetto
c.d'a.	corpo d'armata
centr.	centrale
cfr.	confronta
chim.	chimica
chim. ind.	chimica industriale
chir.	chirurgia
ciber.	cibernetica
cin.	cinema, cinese
citol.	citologia
class.	classico
cm	centimetro
cm², cmq	centimetro quadrato
cmq	comunque
cod. civ.	codice civile
cod. pen.	codice penale
cod. proc. civ.	codice di procedura civile
cod. proc. pen.	codice di procedura penale
coll.	collettivo (nome)
com.	comune, comunemente
comm.	commercio, commerciale
comp.	composto, composizione
compar.	comparativo, comparazione
compl.	complemento
conc.	concessivo, concessiva
concl.	conclusivo, conclusione
condiz.	condizionale
confr.	confronta
cong.	congiunzione
congiunt.	congiuntivo
coniug.	coniugazione
consec.	consecutivo
contab.	contabilità
contr.	contrario
